,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,params,user_attrs,user_attrs,user_attrs,user_attrs,user_attrs,user_attrs,user_attrs,user_attrs,user_attrs,user_attrs,user_attrs,user_attrs,system_attrs,system_attrs
,,,,,,extra_porc,inc_filter,input_factor,learning_rate,loss_string,max_pool_layers,replace_max_pool_with_stride,st_filter,stack_layers,0_IOU,0_precision,0_recall,1_IOU,1_precision,1_recall,eval_time_bs10,global_IOU,global_loss_test,global_precision,global_recall,out_path,_number,fail_reason
26,26,TrialState.COMPLETE,0.07875894988066824,2019-10-12 20:20:05.290633,2019-10-12 20:20:59.566773,1,30.0,0.25,0.001,,True,False,30.0,2,0.021892085579583585,0.042105263157894736,0.6060606060606061,0.017934172841415436,0.041666666666666664,0.7222222222222222,0.008476018905639648,0.02032300200358808,0.38150811195373535,0.04193138500635324,0.6470588235294118,clf_images/saved_models/clf_enemy/12_Oct_2019__20_20_44,26,
27,27,TrialState.COMPLETE,0.027027027027027025,2019-10-12 20:21:00.208667,2019-10-12 20:22:04.754073,1,30.0,0.25,0.001,,True,False,30.0,3,0.020431739061881934,0.01675977653631285,0.2,0.010117842324318798,0.012448132780082987,0.3333333333333333,0.009329636891682943,0.014513526886280229,0.5243531465530396,0.014285714285714285,0.25,clf_images/saved_models/clf_enemy/12_Oct_2019__20_21_43,27,
28,28,TrialState.COMPLETE,0.023483365949119372,2019-10-12 20:22:05.217172,2019-10-12 20:23:12.325770,1,30.0,0.25,0.001,,True,False,30.0,3,0.017398049887560538,0.018433179723502304,0.26666666666666666,0.007823112678442145,0.007407407407407408,0.2222222222222222,0.009161074956258139,0.012089563139178677,0.7673075795173645,0.012320328542094456,0.25,clf_images/saved_models/clf_enemy/12_Oct_2019__20_22_48,28,
29,29,TrialState.COMPLETE,0.023529411764705882,2019-10-12 20:23:12.722162,2019-10-12 20:24:12.120373,1,30.0,0.25,0.001,,True,False,30.0,3,0.01862043942912241,0.020253164556962026,0.26666666666666666,0.011613303449616122,0.004914004914004914,0.1111111111111111,0.009468475977579752,0.015064448975682185,0.5908897519111633,0.012468827930174564,0.20833333333333334,clf_images/saved_models/clf_enemy/12_Oct_2019__20_23_53,29,
30,30,TrialState.COMPLETE,0.010775862068965518,2019-10-12 20:24:14.080591,2019-10-12 20:25:14.597762,1,30.0,0.25,0.001,,True,False,30.0,3,0.02310051525037916,0.012779552715654952,0.13333333333333333,0.006936642832598167,0.001763668430335097,0.05555555555555555,0.009448607762654623,0.012685838363013452,0.6087074279785156,0.005681818181818182,0.10416666666666667,clf_images/saved_models/clf_enemy/12_Oct_2019__20_24_55,30,
31,31,TrialState.COMPLETE,0.07780979827089338,2019-10-12 20:25:15.002420,2019-10-12 20:26:04.096691,1,30.0,0.25,0.001,,True,False,30.0,1,0.031034818493243202,0.05964912280701754,0.5151515151515151,0.015062526039051371,0.027932960893854747,0.5555555555555556,0.007418473561604817,0.022142002476756927,0.4653080105781555,0.041990668740279936,0.5294117647058824,clf_images/saved_models/clf_enemy/12_Oct_2019__20_25_49,31,
32,32,TrialState.COMPLETE,0.036855036855036855,2019-10-12 20:26:04.554972,2019-10-12 20:27:13.176022,1,30.0,0.25,0.001,,True,False,50.0,3,0.022287422635996017,0.023391812865497075,0.26666666666666666,0.010889803516456945,0.01650943396226415,0.3888888888888889,0.021181106567382812,0.015978557744762905,0.5608869194984436,0.0195822454308094,0.3125,clf_images/saved_models/clf_enemy/12_Oct_2019__20_26_54,32,
33,33,TrialState.COMPLETE,0.12020033388981635,2019-10-12 20:27:13.652216,2019-10-12 20:28:07.852135,2,30.0,0.25,0.001,,True,False,30.0,2,0.02880690836873942,0.06199460916442048,0.696969696969697,0.03214748936370128,0.07344632768361582,0.7222222222222222,0.008642832438151041,0.02988589164630922,0.30345916748046875,0.06569343065693431,0.7058823529411765,clf_images/saved_models/clf_enemy/12_Oct_2019__20_27_53,33,
34,34,TrialState.COMPLETE,0.014184397163120569,2019-10-12 20:28:08.822824,2019-10-12 20:29:15.534017,1,30.0,0.25,0.001,,True,False,30.0,3,0.01590485725502671,0.01084010840108401,0.13333333333333333,0.007931066038370438,0.005263157894736842,0.16666666666666666,0.00944979985555013,0.01106453670817466,0.6208232045173645,0.007454739084132056,0.14583333333333334,clf_images/saved_models/clf_enemy/12_Oct_2019__20_28_53,34,
35,35,TrialState.COMPLETE,0.1619047619047619,2019-10-12 20:29:16.097764,2019-10-12 20:30:50.416408,3,30.0,0.5,0.001,,True,False,30.0,3,0.03916922501927917,0.084,0.6363636363636364,0.0473810694478809,0.1092436974789916,0.7222222222222222,0.04623492558797201,0.041817489211700865,0.25317078828811646,0.0921409214092141,0.6666666666666666,clf_images/saved_models/clf_enemy/12_Oct_2019__20_30_37,35,
36,36,TrialState.COMPLETE,0.009615384615384614,2019-10-12 20:30:51.216545,2019-10-12 20:31:47.677118,2,30.0,0.25,0.001,,True,False,30.0,3,0.02631990929548347,0.013215859030837005,0.1,0.006750304053695151,0.0017953321364452424,0.05555555555555555,0.009565591812133789,0.012416503530590492,0.45731350779533386,0.00510204081632653,0.08333333333333333,clf_images/saved_models/clf_enemy/12_Oct_2019__20_31_33,36,
37,37,TrialState.COMPLETE,0.034383954154727794,2019-10-12 20:31:48.175289,2019-10-12 20:32:59.397034,1,30.0,0.25,0.001,,True,False,50.0,3,0.027307231580100417,0.03319502074688797,0.26666666666666666,0.010132760296303592,0.009779951100244499,0.2222222222222222,0.010357379913330078,0.016500525803065182,0.5989028215408325,0.018461538461538463,0.25,clf_images/saved_models/clf_enemy/12_Oct_2019__20_32_37,37,
38,38,TrialState.COMPLETE,0.022018348623853212,2019-10-12 20:32:59.806547,2019-10-12 20:34:08.908158,1,30.0,0.25,0.001,,True,False,50.0,3,0.015899966276665633,0.015021459227467811,0.23333333333333334,0.008108105721978376,0.008680555555555556,0.2777777777777778,0.010473330815633139,0.011592757371195516,0.566830575466156,0.011516314779270634,0.25,clf_images/saved_models/clf_enemy/12_Oct_2019__20_33_48,38,
39,39,TrialState.COMPLETE,0.01553829078801332,2019-10-12 20:34:09.761681,2019-10-12 20:35:19.632349,1,30.0,0.25,0.001,,True,False,50.0,3,0.018467270138852243,0.012658227848101266,0.16666666666666666,0.008852959761897457,0.004366812227074236,0.1111111111111111,0.010399341583251953,0.013305073007966788,0.6700388193130493,0.008206330597889801,0.14583333333333334,clf_images/saved_models/clf_enemy/12_Oct_2019__20_34_58,39,
40,40,TrialState.COMPLETE,0.01824401368301026,2019-10-12 20:35:20.101148,2019-10-12 20:36:22.723543,1,30.0,0.25,0.001,,True,False,50.0,3,0.02056226906592676,0.017241379310344827,0.2,0.008916140309793345,0.004158004158004158,0.1111111111111111,0.010440905888875326,0.013804985674249832,0.5710442066192627,0.009650180940892641,0.16666666666666666,clf_images/saved_models/clf_enemy/12_Oct_2019__20_36_04,40,
41,41,TrialState.COMPLETE,0.09915014164305949,2019-10-12 20:36:23.203720,2019-10-12 20:37:19.440565,2,30.0,0.25,0.001,,True,False,50.0,2,0.023751391882895007,0.053613053613053616,0.696969696969697,0.02466374167220412,0.05309734513274336,0.6666666666666666,0.010334412256876627,0.024066187382717697,0.2972126007080078,0.05343511450381679,0.6862745098039216,clf_images/saved_models/clf_enemy/12_Oct_2019__20_37_04,41,
42,42,TrialState.COMPLETE,0.1099236641221374,2019-10-12 20:37:20.094402,2019-10-12 20:39:29.840752,2,30.0,0.5,0.001,,True,False,50.0,3,0.026577268051225778,0.058394160583941604,0.7272727272727273,0.029138492470863496,0.06217616580310881,0.6666666666666666,0.06589333216349284,0.027395672542931206,0.3108751177787781,0.059602649006622516,0.7058823529411765,clf_images/saved_models/clf_enemy/12_Oct_2019__20_39_16,42,
43,43,TrialState.COMPLETE,0.07575757575757576,2019-10-12 20:39:30.464063,2019-10-12 20:40:31.892526,1,30.0,0.25,0.0001,,True,True,50.0,1,0.03199703008553921,0.06172839506172839,0.45454545454545453,0.013987818918761009,0.0273224043715847,0.5555555555555556,0.014607588450113932,0.02117376032028334,0.4830872416496277,0.041050903119868636,0.49019607843137253,clf_images/saved_models/clf_enemy/12_Oct_2019__20_40_15,43,
44,44,TrialState.COMPLETE,0.020964360587002098,2019-10-12 20:40:32.308369,2019-10-12 20:41:38.434188,1,30.0,0.25,0.001,,True,False,50.0,3,0.01955788647313273,0.015748031496062992,0.2,0.008934634994308984,0.007619047619047619,0.2222222222222222,0.0104827880859375,0.013402028828118967,0.5645339488983154,0.011037527593818985,0.20833333333333334,clf_images/saved_models/clf_enemy/12_Oct_2019__20_41_18,44,
45,45,TrialState.COMPLETE,0.1263482280431433,2019-10-12 20:41:38.823020,2019-10-12 20:43:42.774166,2,30.0,0.5,0.001,,True,False,50.0,2,0.028718213310778885,0.06313131313131314,0.7575757575757576,0.03249882298981579,0.07920792079207921,0.8888888888888888,0.02653670310974121,0.02999527544316259,0.33085983991622925,0.06856187290969899,0.803921568627451,clf_images/saved_models/clf_enemy/12_Oct_2019__20_43_28,45,
46,46,TrialState.COMPLETE,0.022662889518413595,2019-10-12 20:43:43.286318,2019-10-12 20:45:04.755160,2,30.0,0.25,0.0001,,True,True,50.0,3,0.02449719557959019,0.01764705882352941,0.1935483870967742,0.007340968087134669,0.008955223880597015,0.3333333333333333,0.019913991292317707,0.01311633179746623,0.3758086562156677,0.011881188118811881,0.24489795918367346,clf_images/saved_models/clf_enemy/12_Oct_2019__20_44_44,46,
47,47,TrialState.COMPLETE,0.02077431539187913,2019-10-12 20:45:05.209060,2019-10-12 20:46:14.544236,1,40.0,0.25,0.001,,True,False,50.0,3,0.014861599690742007,0.014925373134328358,0.23333333333333334,0.008302307030748971,0.007380073800738007,0.2222222222222222,0.020247220993041992,0.01134514408073585,0.6579751372337341,0.010880316518298714,0.22916666666666666,clf_images/saved_models/clf_enemy/12_Oct_2019__20_45_52,47,
48,48,TrialState.COMPLETE,0.07703281027104138,2019-10-12 20:46:14.989398,2019-10-12 20:47:10.538992,1,40.0,0.25,0.001,,True,False,50.0,1,0.027855461545984055,0.05194805194805195,0.48484848484848486,0.015641946918603,0.03216374269005848,0.6111111111111112,0.008170684178670248,0.021429273849731253,0.4592973291873932,0.04153846153846154,0.5294117647058824,clf_images/saved_models/clf_enemy/12_Oct_2019__20_46_55,48,
49,49,TrialState.COMPLETE,0.039414414414414414,2019-10-12 20:47:10.996331,2019-10-12 20:49:11.306690,1,30.0,0.25,0.001,,False,False,50.0,3,0.013082520396541135,0.027090694935217905,0.696969696969697,0.006087422637548798,0.0136986301369863,0.6666666666666666,0.048962036768595375,0.009530227273713724,0.3622503876686096,0.020289855072463767,0.6862745098039216,clf_images/saved_models/clf_enemy/12_Oct_2019__20_48_55,49,
50,50,TrialState.COMPLETE,0.09453471196454948,2019-10-12 20:49:11.734208,2019-10-12 20:50:09.664262,1,30.0,0.25,0.001,,True,False,50.0,2,0.027912374521456226,0.058355437665782495,0.6666666666666666,0.020929619303768333,0.040160642570281124,0.5555555555555556,0.009519259134928385,0.025134888819851934,0.38239753246307373,0.051118210862619806,0.6274509803921569,clf_images/saved_models/clf_enemy/12_Oct_2019__20_49_55,50,
51,51,TrialState.COMPLETE,0.018306636155606407,2019-10-12 20:50:10.100170,2019-10-12 20:51:17.854874,1,30.0,0.25,0.001,,True,False,50.0,3,0.020904101312336013,0.01791044776119403,0.2,0.008169406976677217,0.004073319755600814,0.1111111111111111,0.010138193766276041,0.013334204316199852,0.5918213129043579,0.009685230024213076,0.16666666666666666,clf_images/saved_models/clf_enemy/12_Oct_2019__20_50_58,51,
52,52,TrialState.COMPLETE,0.21893491124260356,2019-10-12 20:51:18.689956,2019-10-12 20:52:09.826229,4,30.0,0.25,0.001,,True,False,50.0,1,0.05798523005127333,0.13559322033898305,0.7272727272727273,0.052958948178450295,0.11818181818181818,0.7222222222222222,0.008054256439208984,0.05605878055297879,0.3124873638153076,0.1289198606271777,0.7254901960784313,clf_images/saved_models/clf_enemy/12_Oct_2019__20_51_58,52,
53,53,TrialState.COMPLETE,0.06005459508644221,2019-10-12 20:52:10.290447,2019-10-12 20:54:15.966516,1,30.0,0.25,0.0001,,False,True,50.0,3,0.01976485011330408,0.03992015968063872,0.6060606060606061,0.010967120201243474,0.02376599634369287,0.7222222222222222,0.020335833231608074,0.015172905206913669,0.4108901023864746,0.03148854961832061,0.6470588235294118,clf_images/saved_models/clf_enemy/12_Oct_2019__20_53_58,53,
54,54,TrialState.COMPLETE,0.07537012113055182,2019-10-12 20:54:16.453684,2019-10-12 20:56:30.193929,1,30.0,0.5,0.001,,True,False,50.0,3,0.027635553779154578,0.05309734513274336,0.5454545454545454,0.014926431964654381,0.028328611898016998,0.5555555555555556,0.02543489138285319,0.021152432391121963,0.3880173861980438,0.04046242774566474,0.5490196078431373,clf_images/saved_models/clf_enemy/12_Oct_2019__20_56_12,54,
55,55,TrialState.COMPLETE,0.10490693739424703,2019-10-12 20:56:30.801110,2019-10-12 20:57:26.984332,2,30.0,0.25,0.001,,True,False,50.0,2,0.02688352352119167,0.05483028720626632,0.6363636363636364,0.03298842672030776,0.06369426751592357,0.5555555555555556,0.009500344594319662,0.0286584675994532,0.28948622941970825,0.05740740740740741,0.6078431372549019,clf_images/saved_models/clf_enemy/12_Oct_2019__20_57_13,55,
56,56,TrialState.COMPLETE,0.014644351464435146,2019-10-12 20:57:27.693258,2019-10-12 20:58:40.460331,1,40.0,0.25,0.001,,True,False,50.0,3,0.014892698851834288,0.013953488372093023,0.2,0.0082302332557548,0.0020920502092050207,0.05555555555555555,0.010207176208496094,0.01138536564156337,0.6356027722358704,0.007709251101321586,0.14583333333333334,clf_images/saved_models/clf_enemy/12_Oct_2019__20_58_17,56,
57,57,TrialState.COMPLETE,0.07216494845360825,2019-10-12 20:58:40.916029,2019-10-12 20:59:33.754578,1,30.0,0.25,0.001,,True,False,50.0,1,0.02779218608096346,0.05379746835443038,0.5151515151515151,0.013963819703140423,0.02689486552567237,0.6111111111111112,0.008199850718180338,0.019991080082991566,0.4587363600730896,0.038620689655172416,0.5490196078431373,clf_images/saved_models/clf_enemy/12_Oct_2019__20_59_19,57,
58,58,TrialState.COMPLETE,0.08458390177353342,2019-10-12 20:59:34.217326,2019-10-12 21:00:33.817082,1,30.0,0.25,0.001,,True,False,50.0,2,0.02063946485512277,0.043478260869565216,0.6060606060606061,0.025533580040066544,0.04954954954954955,0.6111111111111112,0.00957330067952474,0.022232563932919717,0.37338778376579285,0.045454545454545456,0.6078431372549019,clf_images/saved_models/clf_enemy/12_Oct_2019__21_00_18,58,
59,59,TrialState.COMPLETE,0.025945945945945945,2019-10-12 21:00:34.307963,2019-10-12 21:01:42.464379,1,40.0,0.25,0.001,,True,False,50.0,3,0.019056244835698396,0.02195121951219512,0.3,0.00968766055457242,0.006423982869379015,0.16666666666666666,0.010451952616373697,0.01406750041233941,0.5313636064529419,0.013683010262257697,0.25,clf_images/saved_models/clf_enemy/12_Oct_2019__21_01_23,59,
60,60,TrialState.COMPLETE,0.015086206896551721,2019-10-12 21:01:42.938663,2019-10-12 21:02:48.613982,1,40.0,0.25,0.001,,True,False,50.0,3,0.016621141534904193,0.007177033492822967,0.1,0.009393771028371687,0.008658008658008658,0.2222222222222222,0.010706027348836264,0.012826772018974628,0.5513446927070618,0.007954545454545454,0.14583333333333334,clf_images/saved_models/clf_enemy/12_Oct_2019__21_02_29,60,
61,61,TrialState.COMPLETE,0.01824401368301026,2019-10-12 21:02:49.081340,2019-10-12 21:03:55.807449,1,40.0,0.25,0.001,,True,False,50.0,3,0.01605407271418214,0.01580135440180587,0.23333333333333334,0.011945831921059635,0.0025906735751295338,0.05555555555555555,0.01045552889506022,0.014141188581316895,0.5480908155441284,0.009650180940892641,0.16666666666666666,clf_images/saved_models/clf_enemy/12_Oct_2019__21_03_34,61,
62,62,TrialState.COMPLETE,0.013536379018612519,2019-10-12 21:03:56.286246,2019-10-12 21:05:03.875919,1,40.0,0.25,0.001,,True,False,50.0,3,0.012429467379873488,0.010889292196007259,0.2,0.00732281585149057,0.003430531732418525,0.1111111111111111,0.010474920272827148,0.009804090094999376,0.6166927218437195,0.007054673721340388,0.16666666666666666,clf_images/saved_models/clf_enemy/12_Oct_2019__21_04_45,62,
63,63,TrialState.COMPLETE,0.033623188405797096,2019-10-12 21:05:04.368689,2019-10-12 21:06:32.197123,1,40.0,0.25,0.001,,False,False,50.0,2,0.012954103060902014,0.02481389578163772,0.6060606060606061,0.0056551295755125665,0.010368663594470046,0.5,0.047618865966796875,0.00916945014255193,0.3817770481109619,0.017323775388291517,0.5686274509803921,clf_images/saved_models/clf_enemy/12_Oct_2019__21_06_16,63,
64,64,TrialState.COMPLETE,0.02699896157840083,2019-10-12 21:06:32.671507,2019-10-12 21:07:37.913038,1,40.0,0.25,0.001,,True,False,50.0,3,0.021227104088567074,0.023323615160349854,0.26666666666666666,0.00911667478596695,0.008741258741258742,0.2777777777777778,0.010694106419881185,0.0136564313442094,0.5455396771430969,0.014207650273224045,0.2708333333333333,clf_images/saved_models/clf_enemy/12_Oct_2019__21_07_19,64,
